fid,Nr_ID_JRG,Nazwa_jednostki,Nazwa_komendy_P-M,Nazwa_komendy_KW,Populacja,Liczba_SOR_w_OCH,l_karetek_p,l_karetek_s,l_wyjazdow_PRM,l_obs_pacjetnow_PRM,Liczba_strazakow_na_zm,liczba_zdarzen,liczba_rat_PRM,Liczba_pojazdow,pow_ob_ch,pow_ob_ch_km_kw,Liczba_dyspozytorni,Priorytet_KW,Wojewodztwo,Powiat,ID_JRG_PRIO,Long,Lat
151,0601007,JRG nr 7 Kraków,KM PSP Kraków,KW PSP Kraków,148114,0,1,1,4715,2624,12,1736,0,6,153302669,154,2,0,MAŁOPOLSKIE,Kraków,0601007,19.97736111,50.09403056
152,0601054,JRG SA PSP Kraków,KM PSP Kraków,KW PSP Kraków,132016,3,5,0,14634,8468,21,1583,5,6,66951236,67,2,0,MAŁOPOLSKIE,Kraków,0601054,20.03325833,50.07746389
153,0602001,JRG Skawina,KM PSP Kraków,KW PSP Kraków,69836,0,1,0,3337,1763,12,1343,0,7,174749165,175,1,0,MAŁOPOLSKIE,krakowski,0602001,19.79941111,49.96833056
154,0611001,JRG nr 1 Nowy Sącz,KM PSP Nowy Sącz,KW PSP Kraków,163403,8,6,1,12135,8028,15,1794,2,20,660874654,661,4,0,MAŁOPOLSKIE,Nowy Sącz,0611001,20.69575833,49.63760278
155,0611002,JRG nr 2 Nowy Sącz,KM PSP Nowy Sącz,KW PSP Kraków,89827,0,6,0,5822,3715,9,1252,1,7,540764656,541,5,0,MAŁOPOLSKIE,Nowy Sącz,0611002,20.663575,49.58703056
156,0614001,JRG Olkusz,KP PSP Olkusz,KW PSP Kraków,90729,1,3,1,7141,3993,8,907,2,8,469543204,470,3,0,MAŁOPOLSKIE,olkuski,0614001,19.58055556,50.26944444
157,0616001,JRG Proszowice,KP PSP Proszowice,KW PSP Kraków,48909,1,1,1,3996,2298,7,567,3,9,470457119,471,1,0,MAŁOPOLSKIE,proszowicki,0616001,20.30425,50.19146111
158,0613002,JRG Rabka,KP PSP Nowy Targ,KW PSP Kraków,41590,0,2,0,2381,1345,8,461,0,11,254800416,255,2,0,MAŁOPOLSKIE,nowotarski,0613002,19.95581944,49.61262778
159,0618002P1,PJRG Siedliska,KM PSP Tarnów,KW PSP Kraków,73615,0,3,1,5846,2628,0,0,0,0,691531623,692,4,0,0,0,0,0,0
160,0617001,JRG Sucha Beskidzka,KP PSP Sucha Beskidzka,KW PSP Kraków,79903,1,4,0,5410,3398,7,1166,1,11,684604730,685,4,0,MAŁOPOLSKIE,suski,0617001,19.61900556,49.73505556
161,0618001,JRG 1 Tarnów,KM PSP Tarnów,KW PSP Kraków,114707,0,4,2,13035,7853,17,1002,6,33,423772779,424,3,0,MAŁOPOLSKIE,Tarnów,0618001,20.97388056,50.0217
162,0618002,JRG 2 Tarnów,KM PSP Tarnów,KW PSP Kraków,85268,1,2,0,2538,1502,17,935,3,30,294389371,295,2,0,MAŁOPOLSKIE,Tarnów,0618002,21.0106,50.03571944
163,0620002,JRG Wadowice,KP PSP Wadowice,KW PSP Kraków,97802,1,3,1,7892,4166,11,1430,2,8,466102902,467,3,0,MAŁOPOLSKIE,wadowicki,0620002,19.49263333,49.88755556
164,0621001,JRG Wieliczka,KP PSP Wieliczka,KW PSP Kraków,130920,0,3,2,9969,5453,10,1130,5,8,349391991,350,3,0,MAŁOPOLSKIE,wielicki,0621001,20.051775,49.98166667
165,0615001,JRG Oświęcim,KP PSP Oświęcim,KW PSP Kraków,118974,1,3,0,7061,3912,16,1911,3,17,335637876,336,2,0,MAŁOPOLSKIE,oświęcimski,0615001,19.22825556,50.02791111
166,0608001P1,PJRG Mszana Dolna,KP PSP Limanowa,KW PSP Kraków,30344,0,2,0,2027,1422,0,0,0,0,249319104,250,1,0,0,0,0,0,0
167,0608001,JRG Limanowa,KP PSP Limanowa,KW PSP Kraków,95036,3,4,0,4695,3483,12,1287,3,12,679870871,680,3,0,MAŁOPOLSKIE,limanowski,0608001,20.43165,49.70379444
168,0301001,JRG 1 Lublin,KM PSP Lublin,KW PSP Lublin,189170,1,6,1,12269,8488,17,2217,2,13,288580001,289,2,0,LUBELSKIE,Lublin,0301001,22.55555556,51.23944444
169,0301002,JRG 2 Lublin,KM PSP Lublin,KW PSP Lublin,70295,0,3,0,8066,5802,8,876,1,10,147078178,148,1,0,LUBELSKIE,Lublin,0301002,22.56666667,51.20638889
170,0301003,JRG 3 Lublin,KM PSP Lublin,KW PSP Lublin,35065,1,0,0,0,0,8,825,3,8,79511123,80,0,0,LUBELSKIE,Lublin,0301003,22.63777778,51.23888889
171,0301004,JRG 4 Lublin,KM PSP Lublin,KW PSP Lublin,109826,2,2,1,6643,4285,8,1098,0,7,167303674,168,1,0,LUBELSKIE,Lublin,0301004,22.57722222,51.27055556
172,0303001,JRG Biała Podlaska,KM PSP Biała Podlaska,KW PSP Lublin,96969,1,4,1,9223,4791,14,996,0,15,1451719614,1452,2,0,LUBELSKIE,Biała Podlaska,0303001,23.157425,52.023675
173,0304001,JRG Międzyrzec Podlaski,KM PSP Biała Podlaska,KW PSP Lublin,35073,0,1,1,2542,1546,7,326,0,12,593989794,594,1,0,LUBELSKIE,bialski,0304001,22.77687222,51.97587222
174,0304002,JRG Małaszewicze,KM PSP Biała Podlaska,KW PSP Lublin,27135,0,2,0,2736,1526,7,269,0,12,691849750,692,2,0,LUBELSKIE,bialski,0304002,23.53505,52.02762778
175,0308001,JRG Hrubieszów,KP PSP Hrubieszów,KW PSP Lublin,57847,0,2,1,4709,2678,7,1100,2,11,1353457136,1354,2,0,LUBELSKIE,hrubieszowski,0308001,23.91286944,50.80437778
176,0309001,JRG Janów Lubelski,KP PSP Janów Lubelski,KW PSP Lublin,42062,1,1,1,1231,785,7,542,0,9,875286752,876,1,0,LUBELSKIE,janowski,0309001,22.41388889,50.70694444
177,0316001,JRG Parczew,KP PSP Parczew,KW PSP Lublin,33322,1,1,1,1345,810,7,425,0,9,1004803546,1005,1,0,LUBELSKIE,parczewski,0316001,22.90339167,51.64386111
178,0322001,JRG Włodawa,KP PSP Włodawa,KW PSP Lublin,34925,0,6,0,2067,1501,7,392,0,10,1323523705,1324,4,0,LUBELSKIE,włodawski,0322001,23.55174167,51.54433333
179,0321001,JRG Tomaszów Lubelski,KP PSP Tomaszów Lubelski,KW PSP Lublin,83348,1,4,1,7685,5302,8,971,0,10,1641789142,1642,4,0,LUBELSKIE,tomaszowski,0321001,23.42267778,50.44404167
